PlayerOne,PlayerTwo,Dictionary,ScorePlayerOne,ScorePlayerTwo,NumTurns,MaxScore,MinScore,MeanScore
Austin Shin,Joshua Castellano,CSW21,304,494,26,98,5,30.69
Waseem Khatri,Joshua Castellano,CSW21,430,423,25,86,2,34.12
Joshua Castellano,Alec Sjoholm,CSW21,454,433,23,86,16,38.57
Joshua Castellano,Moiz Ullah Baig,CSW21,461,339,23,91,2,34.78
Ben Schoenbrun,Joshua Castellano,CSW21,473,525,22,80,5,45.36
Joshua Castellano,Tony Leah,CSW21,467,303,30,74,0,25.67
Alec Sjoholm,Joshua Castellano,CSW21,442,476,24,89,4,38.25
Joshua Castellano,Tim Weiss,CSW21,449,409,26,98,4,33.0
Joshua Castellano,Bradley Whitmarsh,CSW21,482,435,26,84,0,35.27
Joshua Castellano,Robert Linn,CSW21,452,405,26,87,0,32.96
Josh Sokol,Joshua Castellano,CSW21,413,386,24,74,6,33.29
Joel Wapnick,Joshua Castellano,CSW21,506,441,25,94,5,42.75
Joshua Castellano,Matthew Tunnicliffe,CSW21,516,471,24,93,6,41.12
Austin Shin,Joshua Castellano,CSW21,370,421,26,88,0,30.42
Joshua Castellano,Jason Keller,CSW21,409,526,25,97,6,37.4
Joshua Castellano,Thomas Reinke,CSW21,358,533,24,101,5,37.12
Mohammad Sulaiman,Joshua Castellano,CSW21,355,576,23,81,0,40.48
Terry Kang,Joshua Castellano,CSW21,377,530,25,80,6,36.28
Ryan Wee,Leon Tan,CSW21,432,510,28,90,0,33.64
Lois Greene,Fred Morlan,NWL23,480,345,30,89,4,27.5
Dokosimi Oluwatimilehin,Enoch Nwai,CSW21,384,341,27,92,6,31.42
Enoch Nwai,DOkosimi Oluwatimilehin,CSW21,515,450,24,89,4,40.21
Enoch Nwai,DOkosimi Oluwatimilehin,CSW21,515,450,24,89,4,40.21
